Part Number,Status,Characteristic,Specific Applications,Length,Width,Thickness,Temperature characteristics,Rated Voltage,Capacitance,Tolerance of capacitance,Notes,,,
GCM1885C1H8R2BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.2pF,±0.1pF,,1E-12,8.2,8.2E-12
GCM1885C1H8R2CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.2pF,±0.25pF,,1E-12,8.2,8.2E-12
GCM1885C1H8R2DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.2pF,±0.5pF,,1E-12,8.2,8.2E-12
GCM1885G1H8R2BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.2pF,±0.1pF,,1E-12,8.2,8.2E-12
GCM1885G1H8R2CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.2pF,±0.25pF,,1E-12,8.2,8.2E-12
GCM1885G1H8R2DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.2pF,±0.5pF,,1E-12,8.2,8.2E-12
GCM1555C1H8R3DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.3pF,±0.5pF,,1E-12,8.3,8.3E-12
GCM1555G1H8R3BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.3pF,±0.1pF,,1E-12,8.3,8.3E-12
GCM1555G1H8R3CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.3pF,±0.25pF,,1E-12,8.3,8.3E-12
GCM1885C2A8R3BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.3pF,±0.1pF,,1E-12,8.3,8.3E-12
GCM1885C2A8R3CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.3pF,±0.25pF,,1E-12,8.3,8.3E-12
GCM1885C2A8R3DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.3pF,±0.5pF,,1E-12,8.3,8.3E-12
GCM1885C1H8R3BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.3pF,±0.1pF,,1E-12,8.3,8.3E-12
GCM1885C1H8R3CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.3pF,±0.25pF,,1E-12,8.3,8.3E-12
GCM1885C1H8R3DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.3pF,±0.5pF,,1E-12,8.3,8.3E-12
GCM1885G1H8R3BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.3pF,±0.1pF,,1E-12,8.3,8.3E-12
GCM1885G1H8R3CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.3pF,±0.25pF,,1E-12,8.3,8.3E-12
GCM1885G1H8R3DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.3pF,±0.5pF,,1E-12,8.3,8.3E-12
GCM1555C1H8R4BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.4pF,±0.1pF,,1E-12,8.4,8.4E-12
GCM1555C1H8R4DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.4pF,±0.5pF,,1E-12,8.4,8.4E-12
GCM1555G1H8R4BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.4pF,±0.1pF,,1E-12,8.4,8.4E-12
GCM1555G1H8R4CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.4pF,±0.25pF,,1E-12,8.4,8.4E-12
GCM1885C2A8R4BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.4pF,±0.1pF,,1E-12,8.4,8.4E-12
GCM1885C2A8R4CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.4pF,±0.25pF,,1E-12,8.4,8.4E-12
GCM1885C2A8R4DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.4pF,±0.5pF,,1E-12,8.4,8.4E-12
GCM1885C1H8R4BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.4pF,±0.1pF,,1E-12,8.4,8.4E-12
GCM1885C1H8R4CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.4pF,±0.25pF,,1E-12,8.4,8.4E-12
GCM1885C1H8R4DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.4pF,±0.5pF,,1E-12,8.4,8.4E-12
GCM1885C1H8R4WA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.4pF,±0.05pF,,1E-12,8.4,8.4E-12
GCM1885G1H8R4BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.4pF,±0.1pF,,1E-12,8.4,8.4E-12
GCM1885G1H8R4CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.4pF,±0.25pF,,1E-12,8.4,8.4E-12
GCM1885G1H8R4DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.4pF,±0.5pF,,1E-12,8.4,8.4E-12
GCM1555C1H8R5DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.5pF,±0.5pF,,1E-12,8.5,8.5E-12
GCM1555G1H8R5BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.5pF,±0.1pF,,1E-12,8.5,8.5E-12
GCM1555G1H8R5CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.5pF,±0.25pF,,1E-12,8.5,8.5E-12
GCM1885C2A8R5BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.5pF,±0.1pF,,1E-12,8.5,8.5E-12
GCM1885C2A8R5CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.5pF,±0.25pF,,1E-12,8.5,8.5E-12
GCM1885C2A8R5DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.5pF,±0.5pF,,1E-12,8.5,8.5E-12
GCM1885C1H8R5BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.5pF,±0.1pF,,1E-12,8.5,8.5E-12
GCM1885C1H8R5CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.5pF,±0.25pF,,1E-12,8.5,8.5E-12
GCM1885C1H8R5DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.5pF,±0.5pF,,1E-12,8.5,8.5E-12
GCM1885G1H8R5BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.5pF,±0.1pF,,1E-12,8.5,8.5E-12
GCM1885G1H8R5CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.5pF,±0.25pF,,1E-12,8.5,8.5E-12
GCM1885G1H8R5DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.5pF,±0.5pF,,1E-12,8.5,8.5E-12
GCM1555C1H8R6DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.6pF,±0.5pF,,1E-12,8.6,8.6E-12
GCM1555G1H8R6BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.6pF,±0.1pF,,1E-12,8.6,8.6E-12
GCM1555G1H8R6CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.6pF,±0.25pF,,1E-12,8.6,8.6E-12
GCM1885C2A8R6BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.6pF,±0.1pF,,1E-12,8.6,8.6E-12
GCM1885C2A8R6CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.6pF,±0.25pF,,1E-12,8.6,8.6E-12
GCM1885C2A8R6DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.6pF,±0.5pF,,1E-12,8.6,8.6E-12
GCM1885C1H8R6BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.6pF,±0.1pF,,1E-12,8.6,8.6E-12
GCM1885C1H8R6CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.6pF,±0.25pF,,1E-12,8.6,8.6E-12
GCM1885C1H8R6DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.6pF,±0.5pF,,1E-12,8.6,8.6E-12
GCM1885G1H8R6BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.6pF,±0.1pF,,1E-12,8.6,8.6E-12
GCM1885G1H8R6CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.6pF,±0.25pF,,1E-12,8.6,8.6E-12
GCM1885G1H8R6DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.6pF,±0.5pF,,1E-12,8.6,8.6E-12
GCM1555C1H8R7BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.7pF,±0.1pF,,1E-12,8.7,8.7E-12
GCM1555C1H8R7DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.7pF,±0.5pF,,1E-12,8.7,8.7E-12
GCM1555G1H8R7BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.7pF,±0.1pF,,1E-12,8.7,8.7E-12
GCM1555G1H8R7CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.7pF,±0.25pF,,1E-12,8.7,8.7E-12
GCM1885C2A8R7BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.7pF,±0.1pF,,1E-12,8.7,8.7E-12
GCM1885C2A8R7CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.7pF,±0.25pF,,1E-12,8.7,8.7E-12
GCM1885C2A8R7DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.7pF,±0.5pF,,1E-12,8.7,8.7E-12
GCM1885C1H8R7BA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.7pF,±0.1pF,,1E-12,8.7,8.7E-12
GCM1885C1H8R7CA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.7pF,±0.25pF,,1E-12,8.7,8.7E-12
GCM1885C1H8R7DA16#,NRND,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),50Vdc,8.7pF,±0.5pF,,1E-12,8.7,8.7E-12
GCM1885G1H8R7BA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.7pF,±0.1pF,,1E-12,8.7,8.7E-12
GCM1885G1H8R7CA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.7pF,±0.25pF,,1E-12,8.7,8.7E-12
GCM1885G1H8R7DA16#,NRND,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,X8G(Murata),50Vdc,8.7pF,±0.5pF,,1E-12,8.7,8.7E-12
GCM1555C1H8R8DA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,8.8pF,±0.5pF,,1E-12,8.8,8.8E-12
GCM1555G1H8R8BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.8pF,±0.1pF,,1E-12,8.8,8.8E-12
GCM1555G1H8R8CA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,8.8pF,±0.25pF,,1E-12,8.8,8.8E-12
GCM1885C2A8R8BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.8pF,±0.1pF,,1E-12,8.8,8.8E-12
GCM1885C2A8R8CA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering|Flow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.6 ±0.1mm,0.8 ±0.1mm,0.8 ±0.1mm,C0G(EIA),100Vdc,8.8pF,±0.25pF,,1E-12,8.8,8.8E-12
